top10_model_rank,top10_model,points_model_rank,points_model,season,known_race_count,remaining_race_count,driver_points_mae,constructor_points_mae,combined_points_mae,driver_champion_actual,driver_champion_predicted,driver_champion_hit,constructor_champion_actual,constructor_champion_predicted,constructor_champion_hit,driver_top3_overlap,constructor_top3_overlap,deterministic_driver_winner_count,max_driver_winner_share,winner_distribution,avg_winner_runner_up_score_gap,calibration_train_end_season,calibration_season
3,hist_gradient_boosting,3,catboost_regressor,2022,5,17,26.454545,57.200000,41.827273,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,3,3,0.764706,"{'Charles Leclerc': 3, 'Max Verstappen': 13, 'Sergio Pérez': 1}",0.028492,2020,2021
3,hist_gradient_boosting,3,catboost_regressor,2023,5,17,41.636364,91.600000,66.618182,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,2,1,1.000000,{'Max Verstappen': 17},0.045505,2021,2022
3,hist_gradient_boosting,3,catboost_regressor,2024,5,19,56.750000,133.400000,95.075000,Max Verstappen,Max Verstappen,1,McLaren,Red Bull,0,1,3,1,1.000000,{'Max Verstappen': 19},0.057604,2022,2023
3,hist_gradient_boosting,3,catboost_regressor,2025,5,19,35.619048,65.200000,50.409524,Lando Norris,Oscar Piastri,0,McLaren,McLaren,1,3,3,1,1.000000,{'Oscar Piastri': 19},0.035002,2023,2024
3,hist_gradient_boosting,4,hist_gradient_boosting_regressor,2022,5,17,27.272727,52.400000,39.836364,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,2,3,2,0.941176,"{'Lewis Hamilton': 1, 'Max Verstappen': 16}",0.030010,2020,2021
3,hist_gradient_boosting,4,hist_gradient_boosting_regressor,2023,5,17,41.000000,85.600000,63.300000,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,2,2,2,0.705882,"{'Lewis Hamilton': 5, 'Max Verstappen': 12}",0.040934,2021,2022
3,hist_gradient_boosting,4,hist_gradient_boosting_regressor,2024,5,19,60.750000,143.000000,101.875000,Max Verstappen,Max Verstappen,1,McLaren,Red Bull,0,2,3,1,1.000000,{'Max Verstappen': 19},0.067304,2022,2023
3,hist_gradient_boosting,4,hist_gradient_boosting_regressor,2025,5,19,32.761905,65.200000,48.980952,Lando Norris,Oscar Piastri,0,McLaren,McLaren,1,3,3,3,0.526316,"{'Lando Norris': 4, 'Max Verstappen': 5, 'Oscar Piastri': 10}",0.045998,2023,2024
3,hist_gradient_boosting,5,xgboost_regressor,2022,5,17,26.000000,52.000000,39.000000,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,3,3,0.705882,"{'Charles Leclerc': 4, 'Max Verstappen': 12, 'Sergio Pérez': 1}",0.028155,2020,2021
3,hist_gradient_boosting,5,xgboost_regressor,2023,5,17,40.000000,80.400000,60.200000,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,2,3,0.647059,"{'Lewis Hamilton': 5, 'Max Verstappen': 11, 'Sergio Pérez': 1}",0.039112,2021,2022
3,hist_gradient_boosting,5,xgboost_regressor,2024,5,19,53.083333,127.600000,90.341667,Max Verstappen,Max Verstappen,1,McLaren,Red Bull,0,2,3,1,1.000000,{'Max Verstappen': 19},0.071498,2022,2023
3,hist_gradient_boosting,5,xgboost_regressor,2025,5,19,39.333333,70.400000,54.866667,Lando Norris,Oscar Piastri,0,McLaren,McLaren,1,3,2,2,0.631579,"{'Lando Norris': 7, 'Oscar Piastri': 12}",0.044200,2023,2024
